@id,name,highway,maxspeed
112957019,Jirón Alpamayo,residential,
112957020,Pasaje Los Andes,residential,
112957021,Jirón Vilcanota,residential,
112957022,Jirón Florida,residential,
112957024,,residential,
112957025,,residential,
112957026,Jirón 20 de Enero,residential,
112957027,Jirón Golfo,residential,
112957028,Jirón Titicaca,residential,
112957029,Jirón Rosaspata,residential,
112957030,Jirón Yungay,residential,
112957031,Avenida Asunción,residential,40
112957032,Jirón San Juan de Dios,residential,
112957033,Jirón Samán,residential,
112957034,Jose Riva Aguero,residential,
112957035,Jirón Cordillerano,residential,
112957036,Jirón Aeropuerto,residential,
118829227,,residential,
118829229,Jirón La Cultura,residential,
118829230,Jirón José Galvez,residential,
118829231,Jirón Ica,residential,30
118829232,Jirón Ica,residential,
118829234,Jirón Lampa,residential,
118829235,23 de Noviembre,residential,
118829237,Jirón Donato Pilco,residential,
118829238,Jirón Lima,residential,
118829240,Jirón Luis de la Fuente Uceda,residential,
118829241,Huascar,residential,30
118829242,Jirón Huascar,residential,
118829243,Huaynaroque,residential,
118829245,,residential,
118829246,Jirón Huascar,residential,30
118829247,Avenida Nueva Zelandia,secondary,50
118829248,Jirón Junín,residential,30
118829249,Jirón Ayacucho,residential,30
118829250,Jirón 2 de Mayo,tertiary,30
118829252,,residential,
118829253,Heroes del Pacífico,tertiary,
118829254,Jirón Calixto Arestegui,tertiary,
118829255,Jirón Huayna Roque,residential,
118829256,Jirón Calle Nueva,residential,
118829257,Jirón La Union,residential,
118829258,Jirón Justino Guillen,residential,
118829259,Jirón 24 de Octubre,residential,
118829260,Jirón Huaraz,residential,
118829262,Jirón Cuzco,tertiary,30
118829264,Avenida Ferrocarril,primary,
118829265,Jose de Torre Tagle,residential,40
118829266,,residential,
118829267,Jirón Ricardo Palma,residential,
118829268,Heroes del Pacífico,tertiary,
118829269,Jirón Australia,residential,
118829271,Jirón Colon,residential,30
118829272,Jirón Ignacio Miranda,residential,30
118829273,Jirón 2 de Mayo,tertiary,30
118829274,Jirón Manuel Pardo,residential,
118829276,Jirón Sandia,residential,30
118829277,Jirón Heroes Populares,residential,
118829279,Jirón Inca Garcilazo,tertiary,
118829280,Jirón 6 De Julio,residential,
118829281,Jirón Sandia,residential,30
118829283,Jirón Ignacio Miranda,residential,
118830825,Jirón Intiraymi,residential,
118830826,Jirón Cerro de Pasco,residential,
118830827,Jirón Choquechambi,residential,
118830828,Jirón Madre de Dios,residential,
118830829,Jirón Rimac,residential,
118830830,Jirón Enrique Lopez Albujar,residential,
118830831,Jirón Mayta Capac,residential,
118830832,Jirón Marañon,residential,
118830833,Jirón Huallaga,residential,
118830834,Jirón Hipolito Unanue,residential,
118830835,Jirón Los Uros,residential,
118830836,Inca Garcilazo,residential,
118830837,Jirón B. Herrera,residential,
118830838,Jirón Nazca,residential,
118830839,Jirón El Lago,residential,
118830841,Avenida Ferrocarril,primary,
118830842,Jirón El Lago,residential,
118830843,Jirón Huayna Roque,residential,
118830845,Jirón Collasuyo,residential,
118830846,Pasaje San Francisco,residential,
118830847,Jirón Majes,residential,
118830848,Pasaje Dame la Mano,residential,
118830849,Jirón El Amauta,residential,
118830850,Julio C Tello,tertiary,40
118830851,Jirón Pachacutec,residential,
118830852,Avenida Andres Avelino Cáceres,tertiary,
118830853,Jirón Marañon,residential,
118830854,Jirón Leonardo Bardales,residential,
118830856,Jirón Iquitos,residential,
118830859,Jirón Manco Inca,residential,
118830860,María Parado de Bellido,residential,
118832068,Jirón Cesar Carrera,residential,
118832071,Jirón Jose Carlos Mariategui,residential,
118832074,,residential,
118832075,Jirón Los Incas,residential,
118832079,Jirón 24 De Septiembre,residential,
118832082,Jirón Heraldos Negros,residential,
118832083,Jirón 20 De Febrero,residential,
118832086,Jirón Jorge Molina,residential,
118832087,Jirón Mampar,residential,
118832089,Pasaje Dos,residential,
118832090,Jirón Sergio Davila Urquiza,residential,
118832091,Jirón Andres Almonte,residential,
118832096,,residential,
118832097,Jirón Tungsteno,residential,
118832098,Jirón Trilcen,residential,
118832099,Jirón Francisco Salas,residential,
118832101,Prolongación Manuel Pardo,residential,
118832102,Avenida Cesar Vallejo,residential,
118832104,Jirón San Ambrosio,residential,
118832107,Pasaje Piedra Cansada,residential,
118832108,,residential,
118832109,Jirón Poemas Humanos,residential,
118832111,,residential,
118832112,Prolongación Manuel Pardo,residential,
118832113,Jirón Dados Eternos,residential,
163347549,Sangarara,residential,
163347550,Jirón Cancollani,residential,
163347553,,residential,
163347554,,residential,
163347555,Jirón Huayna Picchu,residential,
163347556,,residential,
163347557,,residential,
163347558,Jirón Ayar Cachi,residential,
163347559,,residential,
163347560,Jirón Tullumayo,residential,
163347561,,residential,
163347562,,residential,
163347563,Jirón Villa El Sol,residential,
163347564,,residential,
163347565,Tungasuca,residential,
163347566,Tungasuca,residential,
163347567,,residential,
163347568,Tinta,residential,
163347570,,residential,
163347571,Jirón Ucayali,residential,
163347572,Prolongación Avenida Sacsayhuaman,residential,
163347573,Jirón Ayar Manco,residential,
163347574,Jirón Huancaure,residential,
163347575,Cusipata,residential,
163347576,Jirón Koricancha,residential,
163347577,Inca Roca,residential,
163347578,Jirón Pachacamac,residential,
163347579,Jirón Pumachupan,residential,
163347580,Jirón Pasarela,residential,
163347581,Jirón Pisac,residential,
163347582,Jirón La Cantuta,residential,
163347584,Jirón Los Kipus,residential,
163347585,Jirón Tambo Machay,residential,
163347586,Tungasuca,residential,
163347587,Jirón Ayllu,residential,
163347588,Jirón Almudema,residential,
163347589,Jirón Ayar Uchu,residential,
163347590,Ayarauca,residential,
163347591,Pachacutec,residential,
163347592,Jirón Cancollani,residential,
163347593,,tertiary,
163347594,,residential,
163347595,Lloque Yupanqui,residential,
163520503,San Pablo,residential,
163520505,Huancas,residential,
163520506,Alberto Cuentas Zabala,residential,
163520507,Santiago Giraldo,residential,
163520508,Jirón Los Pinos,residential,
163520509,Jirón Accomarca,residential,
163520511,Jirón San Pedro,residential,
163520512,Pasaje Independencia,residential,
163520513,Jirón Mariano Pilco,residential,
163520514,,residential,
163520515,,residential,
163520516,Pasaje Moho,residential,
163520517,Pasaje Las Rosas,residential,
163520518,Pasaje Cinco,residential,
163520519,,residential,
163520520,,residential,
163520521,,residential,
163520522,,residential,
163520523,Carabaya,residential,
163520524,Pasaje E. Belon,residential,
163520525,Jirón Putina,residential,
163520526,Pasaje Ciudad Nueva,residential,
163520527,Pasaje Los Virreyes,residential,
163520528,Pasaje San Francisco,residential,
163520529,,residential,
163520530,Pasaje La Victoria,residential,
163520531,Jirón Los Andes,residential,
163520532,Collao,residential,
163520533,,residential,
163520534,,residential,
163520536,Pasaje Cisneros,residential,
163520537,Jirón Torres Tagle,residential,
163520538,,residential,
163520539,,residential,
163520540,Jirón Jose Maria Arguedas,residential,
163520541,,residential,
163520542,Jirón Gamarra,residential,
163520543,Jirón 6 De Agosto,residential,
163520544,,residential,
163520545,Pasaje La Merced,residential,
163520546,Jirón Huanta,residential,
163520547,Pedro Vilca Apaza,residential,
163520548,Pasaje Seis,residential,
163520549,,residential,
163520550,Jirón Rioja,residential,
163520551,Avenida Huancané,trunk,60
163520552,Jirón Jose Balta,residential,
163520553,,residential,
163520554,Jirón Gamero,residential,
163520555,Jirón 1ro De Mayo,residential,
163520556,Avenida Los Virreyes,residential,
163520557,Emilio Romero,residential,
163520558,Jirón Ignacio Merino,residential,
163520559,,residential,
163520560,Jirón Colmena,residential,
163520561,Jirón 15 De Agosto,residential,
163520563,Jirón Pancho Fierro,residential,
163520564,Jirón Mariano Cornejo,residential,
163520565,Jirón San Lorenzo,residential,
163520566,Jirón Servulo Gutierrez,residential,
163520567,Jirón Jorge Basadre,residential,
163520568,San Pedro,residential,
163520569,Jirón La Cultura,residential,
163520570,19 de Junio,residential,
163520571,Jirón Ignacio Merino,residential,
163520572,Jirón Clorinda Matto De Turner,residential,
163520573,Jirón Tambopata,residential,
163520574,Jirón Guillermo Briceño Rosa,residential,
163520575,Jirón Ayaviri,residential,
163520576,Pasaje Richar Sullca,residential,
163520577,Avenida Pedro Ruiz Gallo,residential,
163520578,Manuel Acosta,residential,
163520579,Jirón Illimani,residential,
163520580,Jirón Huayna Capac,residential,
163520581,Avenida Daniel Alomias Robles,residential,
163520582,Jirón Cordillera Condor,residential,
163520584,Abraham Valderomar,residential,
163520585,Abraham Valderomar,residential,
163520586,Jirón Miraflores,residential,
163520587,Avenida Bernandino Fernandez,residential,
163520588,Jiròn Pacifico,residential,
163520589,Jirón Naciones Unidas,residential,
163520590,Jirón Los Angeles,residential,
163553542,Jirón Militar,residential,
163553543,Jirón Los Libertadores,residential,
163553544,Jirón San Miguel,residential,
163553546,Jirón Los Pioneros,residential,
163553547,Jirón Maximo Flores,residential,
163553548,Jirón Los Angeles,residential,
163553549,Jirón Teodoro Valcárcel,residential,
163553550,Jirón Mártires de la Revolución,residential,
163553551,Avenida Las Gardenias,residential,
163553552,Jirón José Bedoya,residential,
163553553,Jirón Amanecer,tertiary,
163553556,Avenida Rodolfo Diesel,tertiary,
163553557,Jirón Ocoña,residential,
163553558,Jirón 25 De Mayo,residential,
163553559,Jirón Maravillas,residential,
163553560,Pasaje Leguia,residential,
163553561,Jirón Focracasi Chaqui,residential,
163553563,Pasaje Primavera,residential,
163553564,Jirón Alejandro Coyla,residential,
163553565,Jirón Mariano Calla,residential,
163553566,Calle San Antonio,residential,
163553567,,residential,
163553568,Jirón Angamos,residential,
163553569,Avenida Independencia,trunk,60
163553570,Jirón Maria Elena,residential,
163553572,,residential,
163553574,Jirón 1,residential,
163553576,,residential,
163553578,Jirón San Apolinar,residential,
163553579,Pasaje Haya de la Torre,residential,
163553581,,residential,
163553583,Jirón 1 de Marzo,residential,
163553585,Jirón Felix Coronel,residential,
163553587,Jirón Aguas Verdes,residential,
163553588,Jirón 6 De Marzo,residential,
163553590,Jirón Elmer Faucett,residential,
163553592,Jirón Nueva Zelandia,residential,
163553594,Jirón Demetrio Calla Hallasi,residential,
163553596,Jirón Santa Cruz,residential,
163553598,Jirón Los Incas,residential,
163553600,Jirón Las Palmas,residential,
163553602,Jirón 9 de Junio,residential,
163553604,Jirón Bahua,residential,
163553606,Jirón Sheraton,residential,
163553608,Pasaje Santa Juana,residential,
163553609,Jirón Aeroperu,residential,
163553614,Jirón Ayabacas,residential,
163553615,Jirón Benavides,residential,
163553617,Jirón Americana,residential,
163553621,,residential,
163553623,Jirón Copacabana,residential,
163553625,Jirón San Juan,residential,
163553628,Jirón Federico Villa Real,residential,
163553629,,residential,
163553631,Jirón Alejandro Peralta,residential,
163553633,Jirón Aeronautica,residential,
163553635,,residential,
163553637,Avenida Los Virreyes,residential,
163553642,Jirón Peral,residential,
163553643,Jirón El Carmen,residential,
163553644,Jirón Alcon,residential,
163553646,Jirón San valentín,residential,
163553647,Jirón 29 De Diciembre,residential,
163553651,Jirón 30 de Enero,residential,
163553657,Jirón Los Próceres,residential,
