latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,LineString,"-70.2381017,-15.4942405,-70.2396529,-15.4965784,-70.2409582,-15.4985925,-70.2431203,-15.502227,-70.2450502,-15.5056145,-70.246956,-15.5089788,-70.2498891,-15.5141167,-70.2534766,-15.519089,-70.2595625,-15.5274903,-70.2605075,-15.5326443,-70.2629579,-15.53715,-70.2652801,-15.5421031,-70.2664712,-15.5442427,-70.2666977,-15.5444509,-70.2686208,-15.5468655,-70.269128,-15.5489167,-70.2701054,-15.5504793,-70.2708081,-15.5517059,-70.2713417,-15.5521283,-70.2715847,-15.5524286,-70.2719704,-15.5529631,-70.2730217,-15.5545307,-70.2737138,-15.5554468,-70.2741623,-15.556293,-70.27594,-15.559101,-70.2787107,-15.5631125,-70.2814494,-15.5668693,-70.2824584,-15.567849,-70.2853254,-15.5695972,-70.2863422,-15.5702172,-70.2875514,-15.5710426,-70.288192,-15.5714977,-70.2893131,-15.5718217,-70.2908987,-15.573079,-70.2913167,-15.5735239,-70.2940377,-15.5767971,-70.2950038,-15.578009,-70.2961038,-15.5793889,-70.2971846,-15.5808567,-70.2977257,-15.581637,-70.2982098,-15.5823586,-70.3005481,-15.5847344,-70.3017012,-15.5858605,-70.3031346,-15.5871486,-70.3058653,-15.5903419,-70.3072987,-15.591229,-70.3095009,-15.5936123,-70.3133927,-15.5968209,-70.3179171,-15.6000989,-70.3193025,-15.6009396,-70.3207999,-15.602837,-70.3228259,-15.6046803,-70.3250121,-15.6058604,-70.327006,-15.6074106,-70.331824,-15.6111658,-70.3328357,-15.6119995,-70.3333642,-15.6127399,-70.3336605,-15.6131024,-70.3339969,-15.6133877,-70.3353502,-15.6153544,-70.338233,-15.6194419,-70.3383371,-15.6195113,-70.3385213,-15.6195575,-70.3390658,-15.6197581,-70.339282,-15.619812,-70.3393781,-15.6197812,-70.3396584,-15.6194496,-70.3400908,-15.619465,-70.3411675,-15.6195883",way/682925618,,tertiary,,,,,,PU-963,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.150888,-15.4511907,-70.1500305,-15.4513536,-70.1494456,-15.4514426,-70.1491705,-15.4514854,-70.1488805,-15.4514537",way/683391471,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1514865,-15.4538444,-70.1505935,-15.453951,-70.1497799,-15.4540151",way/683391472,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1475473,-15.4493611,-70.1477315,-15.448266,-70.147887,-15.447299,-70.1481004,-15.4463512,-70.1483477,-15.4453277,-70.1484595,-15.4449319,-70.1485997,-15.444362,-70.1487237,-15.4439082",way/683391473,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1473525,-15.4461519,-70.1476264,-15.4462128,-70.1481004,-15.4463512,-70.1485713,-15.4464434",way/683391474,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1496898,-15.4549107,-70.1487632,-15.4547793,-70.1484845,-15.4547549,-70.1481839,-15.4546517,-70.1476448,-15.4545994",way/683395825,,residential,,,,,,,,Jirón Pacasmayo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1484796,-15.4549789,-70.1475889,-15.4548815",way/683395826,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1573355,-15.4571337,-70.1571044,-15.4584017,-70.1568831,-15.4596034",way/683395827,,track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1550011,-15.4671899,-70.1545662,-15.4661704",way/683395828,,residential,,,,,,,,Jirón 13 de Junio,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1807888,-15.4635763,-70.181103,-15.4639829,-70.1813995,-15.4643665,-70.1816902,-15.4647443,-70.1819699,-15.4651077,-70.182278,-15.4655039,-70.1825731,-15.4658864,-70.1828492,-15.4662443,-70.1831539,-15.4666387,-70.1834137,-15.4669882,-70.1837324,-15.4674172,-70.1840659,-15.4678661,-70.1854388,-15.4697138",way/683395829,,residential,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
