id,nombre,latitud,longitud,riesgo,tipo
9069, #2943,-15.447004,-70.1470242,35,interseccion
9070, #2944,-15.4714142,-70.1440626,35,interseccion
9071, #2945,-15.4714252,-70.1440942,35,interseccion
9072, #2946,-15.4714291,-70.144127,35,interseccion
9073, #2947,-15.4714213,-70.1441572,35,interseccion
9074, #2948,-15.470385,-70.1467888,35,interseccion
9075, #2949,-15.4695594,-70.1488963,35,interseccion
9076, #2950,-15.4692117,-70.1498488,35,interseccion
9077, #2951,-15.4691846,-70.1498757,35,interseccion
9078, #2952,-15.4691516,-70.1498864,35,interseccion
9079, #2953,-15.4691174,-70.1498944,35,interseccion
9080, #2954,-15.469076,-70.1498891,35,interseccion
9081, #2955,-15.4684616,-70.1496368,35,interseccion
9082, #2956,-15.4675064,-70.1492767,35,interseccion
9083, #2957,-15.4688263,-70.1486275,35,interseccion
9084, #2958,-15.4674035,-70.1482858,35,interseccion
9085, #2959,-15.4673221,-70.1483662,35,interseccion
9086, ∩ Jr. Los Valvis,-15.4671548,-70.1486023,35,interseccion
9087, #2961,-15.4669294,-70.1470994,35,interseccion
9088, #2962,-15.4660568,-70.1472669,35,interseccion
9089, #2963,-15.4651643,-70.1474474,35,interseccion
9090, ∩ Jr. Los Valvis,-15.4653791,-70.1489043,35,interseccion
9091, ∩ Jr. 23 de Septiembre,-15.4652675,-70.1480544,35,interseccion
9092, #2966,-15.465086,-70.1468387,35,interseccion
9093, #2967,-15.4650937,-70.1467797,35,interseccion
9094, #2968,-15.4651002,-70.1467301,35,interseccion
9095, #2969,-15.4651299,-70.1466765,35,interseccion
9096, #2970,-15.4651739,-70.1466429,35,interseccion
9097, #2971,-15.4653833,-70.1464793,35,interseccion
9098, #2972,-15.4654905,-70.146376,35,interseccion
9099, ∩ Av. Virgen De Las Mercedes,-15.4656341,-70.1462537,35,interseccion
9100,Jr. Los Valvis ∩ Av. Nicolas Otto,-15.4587482,-70.1499881,35,interseccion
9101,Jr. Los Valvis ∩ Jr. Ayrton Senna,-15.4571837,-70.1502491,35,interseccion
9102,Jr. Los Valvis ∩ Jr. San Anronio de Padua,-15.4561021,-70.1504031,35,interseccion
9103,Jr. Pacasmayo ∩ Jr. Los Valvis,-15.4549156,-70.1505929,35,interseccion
9104,Jr. Los Valvis #5,-15.4544753,-70.1506568,35,interseccion
9105,Jr. Los Valvis #6,-15.4542778,-70.1506532,35,interseccion
9106, ∩ Jr. Los Valvis,-15.453951,-70.1505935,35,interseccion
9107, ∩ Jr. Los Valvis,-15.4533713,-70.1504679,35,interseccion
9108, ∩ Jr. Los Valvis,-15.4513536,-70.1500305,35,interseccion
9109, ∩ Jr. Los Valvis,-15.4493501,-70.1495929,35,interseccion
9110, ∩ Jr. 23 de Septiembre,-15.4670058,-70.1477706,35,interseccion
9111, ∩ Jr. 23 de Septiembre,-15.466137,-70.1479124,35,interseccion
9112, ∩ Jr. 23 de Septiembre,-15.4657058,-70.1479828,35,interseccion
9113, ∩ Jr. 23 de Septiembre,-15.4639674,-70.1482447,35,interseccion
9114, ∩ Jr. 23 de Septiembre,-15.4626577,-70.1484993,35,interseccion
9115, ∩ Jr. 23 de Septiembre,-15.460967,-70.1487559,35,interseccion
9116, #2975,-15.4664387,-70.1496978,35,interseccion
9117, #2976,-15.4660018,-70.1498855,35,interseccion
9118, #2977,-15.4668878,-70.1527584,35,interseccion
9119, #2978,-15.4674953,-70.152694,35,interseccion
9120, #2979,-15.46783,-70.1526698,35,interseccion
9121, #2980,-15.4673725,-70.1525472,35,interseccion
9122, #2981,-15.4580215,-70.163369,35,interseccion
9123, #2982,-15.4560121,-70.1646473,35,interseccion
9124, #2983,-15.4549399,-70.165335,35,interseccion
9125, #2984,-15.4548017,-70.1654111,35,interseccion
9126, #2985,-15.4546892,-70.1654987,35,interseccion
9127, #2986,-15.4523331,-70.1676899,35,interseccion
9128, #2987,-15.4520471,-70.167918,35,interseccion
9129, #2988,-15.4499013,-70.1697151,35,interseccion
9130, #2989,-15.448663,-70.1704628,35,interseccion
9131, #2990,-15.4470122,-70.1711984,35,interseccion
9132, #2991,-15.4466108,-70.1713461,35,interseccion
9133, #2992,-15.446225,-70.1714585,35,interseccion
9134, #2993,-15.4459518,-70.1715268,35,interseccion
9135, #2994,-15.4446395,-70.1718771,35,interseccion
9136, #2995,-15.4440561,-70.1720325,35,interseccion
9137, #2996,-15.4440158,-70.1720432,35,interseccion
9138, #2997,-15.4437273,-70.1721167,35,interseccion
9139, #2998,-15.4432149,-70.1722473,35,interseccion
9140, ∩ Jr. Antony Perkins,-15.4638969,-70.1500111,35,interseccion
9141, #2999,-15.4642697,-70.1501798,35,interseccion
9142, ∩ Jr. Antony Perkins,-15.4642294,-70.1499568,35,interseccion
9143, ∩ Jr. Los Valvis,-15.464124,-70.1491193,35,interseccion
9144, #3001,-15.4646333,-70.1502653,35,interseccion
9145, ∩ Jr. Antony Perkins,-15.4646026,-70.1498964,35,interseccion
9146, #3003,-15.464962,-70.1503785,35,interseccion
9147, ∩ Calle Colque,-15.453039,-70.1554262,35,interseccion
9148,Calle Colque #2,-15.4531364,-70.1554694,35,interseccion
9149,Calle Colque #3,-15.4532761,-70.1554906,35,interseccion
9150, ∩ Calle Colque,-15.4535786,-70.155447,35,interseccion
9151,Calle Colque ∩ Calle Chaska,-15.4540745,-70.1553622,35,interseccion
9152,Jr. Uno ∩ Calle Colque,-15.4545469,-70.1552814,35,interseccion
9153,Jr. Pacasmayo ∩ Calle Colque,-15.455548,-70.1551379,35,interseccion
9154,Jr. San Anronio de Padua ∩ Calle Colque,-15.4568132,-70.1549314,35,interseccion
9155,Jr. Ayrton Senna ∩ Calle Colque,-15.4580571,-70.154767,35,interseccion
9156, #3004,-15.4622212,-70.1505407,35,interseccion
9157, #3005,-15.4621987,-70.1504006,35,interseccion
9158, ∩ Jr. Antony Perkins,-15.4621854,-70.1503198,35,interseccion
9159, ∩ Jr. Los Valvis,-15.4620359,-70.1495035,35,interseccion
9160, ∩ Jr. Antony Perkins,-15.4626619,-70.1502542,35,interseccion
9161, ∩ Jr. Antony Perkins,-15.4630763,-70.150153,35,interseccion
9162, ∩ Jr. Los Valvis,-15.4627264,-70.1493899,35,interseccion
